74632, 6975, 'Current Revision Issued To', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74633, 6975, 'Current Revision Issued By', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74637, 6975, 'None', '', 0, 'Footing Detail', '1457185', 'ElementId', 'Other', '', 'Invalid'
74638, 6975, 'Sheet Number', '', 0, 'S204', '', 'String', 'Identity Data', '', 'Text'
74640, 6975, 'Current Revision Issued', '', 1, '0', '0', 'Integer', 'Identity Data', '', 'Yes/No'
74641, 6975, 'Scale', '', 1, 'As indicated', '', 'String', 'Graphics', '', 'Text'
74642, 6975, 'Current Revision Date', '', 1, '', '', 'String', 'Identity Data', '', 'Text'
74644, 6975, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
74645, 6975, 'Approved By', '', 0, 'Approver', '', 'String', 'Identity Data', '', 'Text'
74649, 6975, 'Appears In Sheet List', '', 0, '1', '1', 'Integer', 'Identity Data', '', 'Yes/No'
74651, 6975, 'Sheet Issue Date', '', 0, '02/03/15', '', 'String', 'Identity Data', '', 'Text'
74652, 6975, 'Guide Grid', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
