2662789, 137052, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
2662791, 137052, 'Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2662792, 137052, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
2662794, 137052, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
2662795, 137052, 'Type Id', '', 1, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2662796, 137052, 'Family and Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2662823, 137055, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
2662831, 137055, 'View Name', '', 0, 'Structural Beam Schedule', '', 'String', 'Identity Data', '', 'Text'
2662836, 137055, 'Type Id', '', 1, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2662837, 137055, 'Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2662838, 137055, 'Family', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2662839, 137055, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
2662840, 137055, 'Family and Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2662841, 137055, 'Phase Filter', '', 0, 'Show All', '687', 'ElementId', 'Phasing', '', 'Invalid'
2662843, 137055, 'Phase', '', 0, 'New Construction', '0', 'ElementId', 'Phasing', '', 'Invalid'
2662845, 137055, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
2662883, 137058, 'Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2662884, 137058, 'Family and Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2662886, 137058, 'Family', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2662888, 137058, 'View Name', '', 0, 'Structural Column Schedule', '', 'String', 'Identity Data', '', 'Text'
2662889, 137058, 'Phase Filter', '', 0, 'Show All', '687', 'ElementId', 'Phasing', '', 'Invalid'
2662890, 137058, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
2662891, 137058, 'Type Id', '', 1, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
2662892, 137058, 'Dependency', '', 1, 'Independent', '', 'String', 'Identity Data', '', 'Text'
2662894, 137058, 'None', '', 0, '', '-1', 'ElementId', 'Other', '', 'Invalid'
2662895, 137058, 'Phase', '', 0, 'New Construction', '0', 'ElementId', 'Phasing', '', 'Invalid'
2664089, 137835, 'Sheet Number', '', 1, 'AST-07-1-002', '', 'String', 'Identity Data', '', 'Text'
2664108, 137840, 'Sheet Number', '', 1, 'AST-07-2-002', '', 'String', 'Identity Data', '', 'Text'
2664164, 137845, 'Sheet Number', '', 1, 'AST-07-3-002', '', 'String', 'Identity Data', '', 'Text'
2664228, 137850, 'Sheet Number', '', 1, 'AST-07-4-002', '', 'String', 'Identity Data', '', 'Text'
2664252, 137855, 'Sheet Number', '', 1, 'AST-07-5-002', '', 'String', 'Identity Data', '', 'Text'
2664302, 137860, 'Sheet Number', '', 1, 'AST-07-6-002', '', 'String', 'Identity Data', '', 'Text'
2664358, 137865, 'Sheet Number', '', 1, 'AST-07-7-002', '', 'String', 'Identity Data', '', 'Text'
2664374, 137870, 'Sheet Number', '', 1, 'AST-07-8-002', '', 'String', 'Identity Data', '', 'Text'
2664431, 137875, 'Sheet Number', '', 1, 'AST-07-9-002', '', 'String', 'Identity Data', '', 'Text'
2664487, 137883, 'Sheet Number', '', 1, 'AST-07-U-002', '', 'String', 'Identity Data', '', 'Text'
2664539, 137964, 'Sheet Number', '', 1, 'AST-07-10-002', '', 'String', 'Identity Data', '', 'Text'
2664576, 137969, 'Sheet Number', '', 1, 'AST-07-11-002', '', 'String', 'Identity Data', '', 'Text'
2664639, 137974, 'Sheet Number', '', 1, 'AST-07-R-002', '', 'String', 'Identity Data', '', 'Text'
2665207, 138063, 'View Template', '', 0, '', '-1', 'ElementId', 'Identity Data', '', 'Invalid'
2665208, 138063, 'Type', '', 0, 'Schedule', '31122', 'ElementId', 'Other', '', 'Invalid'
